qid,docid,docno,rank,score,query
1,11518,11518,188,9.005129038489711, rooms AND rescue AND nottingham
1,12659,12659,189,9.005129038489711, rooms AND rescue AND nottingham
1,336,336,190,8.67596594668702, rooms AND rescue AND nottingham
1,900,900,191,8.637764708170488, rooms AND rescue AND nottingham
1,489,489,192,8.62802085821964, rooms AND rescue AND nottingham
1,558,558,193,8.111046543816975, rooms AND rescue AND nottingham
1,493,493,194,8.053443786618386, rooms AND rescue AND nottingham
1,799,799,195,8.02807804618899, rooms AND rescue AND nottingham
1,4331,4331,196,7.9870710541236445, rooms AND rescue AND nottingham
1,4460,4460,197,7.9870710541236445, rooms AND rescue AND nottingham
1,5641,5641,198,7.9870710541236445, rooms AND rescue AND nottingham
1,8079,8079,199,7.9870710541236445, rooms AND rescue AND nottingham
1,9027,9027,200,7.9870710541236445, rooms AND rescue AND nottingham
1,12090,12090,201,7.9870710541236445, rooms AND rescue AND nottingham
1,12562,12562,202,7.9870710541236445, rooms AND rescue AND nottingham
1,830,830,203,7.956821932252269, rooms AND rescue AND nottingham
1,933,933,204,7.886595040950252, rooms AND rescue AND nottingham
1,1412,1412,205,7.866979743210846, rooms AND rescue AND nottingham
1,2254,2254,206,7.866979743210846, rooms AND rescue AND nottingham
1,2820,2820,207,7.866979743210846, rooms AND rescue AND nottingham
1,3760,3760,208,7.866979743210846, rooms AND rescue AND nottingham
1,4422,4422,209,7.866979743210846, rooms AND rescue AND nottingham
1,4474,4474,210,7.866979743210846, rooms AND rescue AND nottingham
1,4549,4549,211,7.866979743210846, rooms AND rescue AND nottingham
1,4578,4578,212,7.866979743210846, rooms AND rescue AND nottingham
1,4781,4781,213,7.866979743210846, rooms AND rescue AND nottingham
1,4856,4856,214,7.866979743210846, rooms AND rescue AND nottingham
1,5101,5101,215,7.866979743210846, rooms AND rescue AND nottingham
1,6036,6036,216,7.866979743210846, rooms AND rescue AND nottingham
1,8397,8397,217,7.866979743210846, rooms AND rescue AND nottingham
1,9931,9931,218,7.866979743210846, rooms AND rescue AND nottingham
1,10260,10260,219,7.866979743210846, rooms AND rescue AND nottingham
1,10320,10320,220,7.866979743210846, rooms AND rescue AND nottingham
1,11059,11059,221,7.866979743210846, rooms AND rescue AND nottingham
1,11307,11307,222,7.866979743210846, rooms AND rescue AND nottingham
1,11792,11792,223,7.866979743210846, rooms AND rescue AND nottingham
1,12055,12055,224,7.866979743210846, rooms AND rescue AND nottingham
1,13031,13031,225,7.866979743210846, rooms AND rescue AND nottingham
1,13456,13456,226,7.866979743210846, rooms AND rescue AND nottingham
1,819,819,227,7.828402045207566, rooms AND rescue AND nottingham
1,1028,1028,228,7.750446254951004, rooms AND rescue AND nottingham
1,1098,1098,229,7.750446254951004, rooms AND rescue AND nottingham
1,1314,1314,230,7.750446254951004, rooms AND rescue AND nottingham
1,1650,1650,231,7.750446254951004, rooms AND rescue AND nottingham
1,1965,1965,232,7.750446254951004, rooms AND rescue AND nottingham
1,2944,2944,233,7.750446254951004, rooms AND rescue AND nottingham
1,3317,3317,234,7.750446254951004, rooms AND rescue AND nottingham
1,3843,3843,235,7.750446254951004, rooms AND rescue AND nottingham
1,3863,3863,236,7.750446254951004, rooms AND rescue AND nottingham
1,4193,4193,237,7.750446254951004, rooms AND rescue AND nottingham
1,4536,4536,238,7.750446254951004, rooms AND rescue AND nottingham
1,4550,4550,239,7.750446254951004, rooms AND rescue AND nottingham
1,6059,6059,240,7.750446254951004, rooms AND rescue AND nottingham
1,7159,7159,241,7.750446254951004, rooms AND rescue AND nottingham
1,7224,7224,242,7.750446254951004, rooms AND rescue AND nottingham
1,7587,7587,243,7.750446254951004, rooms AND rescue AND nottingham
1,7697,7697,244,7.750446254951004, rooms AND rescue AND nottingham
1,7890,7890,245,7.750446254951004, rooms AND rescue AND nottingham
1,8435,8435,246,7.750446254951004, rooms AND rescue AND nottingham
1,8765,8765,247,7.750446254951004, rooms AND rescue AND nottingham
1,8979,8979,248,7.750446254951004, rooms AND rescue AND nottingham
1,9070,9070,249,7.750446254951004, rooms AND rescue AND nottingham
1,9463,9463,250,7.750446254951004, rooms AND rescue AND nottingham
1,9467,9467,251,7.750446254951004, rooms AND rescue AND nottingham
1,9774,9774,252,7.750446254951004, rooms AND rescue AND nottingham
1,9834,9834,253,7.750446254951004, rooms AND rescue AND nottingham
1,10291,10291,254,7.750446254951004, rooms AND rescue AND nottingham
1,10738,10738,255,7.750446254951004, rooms AND rescue AND nottingham
1,10921,10921,256,7.750446254951004, rooms AND rescue AND nottingham
1,10923,10923,257,7.750446254951004, rooms AND rescue AND nottingham
1,11007,11007,258,7.750446254951004, rooms AND rescue AND nottingham
1,11238,11238,259,7.750446254951004, rooms AND rescue AND nottingham
1,11324,11324,260,7.750446254951004, rooms AND rescue AND nottingham
1,12194,12194,261,7.750446254951004, rooms AND rescue AND nottingham
1,12415,12415,262,7.750446254951004, rooms AND rescue AND nottingham
1,13394,13394,263,7.750446254951004, rooms AND rescue AND nottingham
1,13571,13571,264,7.750446254951004, rooms AND rescue AND nottingham
1,13708,13708,265,7.750446254951004, rooms AND rescue AND nottingham
1,1080,1080,266,7.637314791211512, rooms AND rescue AND nottingham
1,1262,1262,267,7.637314791211512, rooms AND rescue AND nottingham
1,1380,1380,268,7.637314791211512, rooms AND rescue AND nottingham
1,1386,1386,269,7.637314791211512, rooms AND rescue AND nottingham
1,1522,1522,270,7.637314791211512, rooms AND rescue AND nottingham
1,1525,1525,271,7.637314791211512, rooms AND rescue AND nottingham
1,1617,1617,272,7.637314791211512, rooms AND rescue AND nottingham
1,1622,1622,273,7.637314791211512, rooms AND rescue AND nottingham
1,1800,1800,274,7.637314791211512, rooms AND rescue AND nottingham
1,1861,1861,275,7.637314791211512, rooms AND rescue AND nottingham
1,1904,1904,276,7.637314791211512, rooms AND rescue AND nottingham
1,2024,2024,277,7.637314791211512, rooms AND rescue AND nottingham
1,2179,2179,278,7.637314791211512, rooms AND rescue AND nottingham
1,2187,2187,279,7.637314791211512, rooms AND rescue AND nottingham
1,2307,2307,280,7.637314791211512, rooms AND rescue AND nottingham
1,2386,2386,281,7.637314791211512, rooms AND rescue AND nottingham
1,2467,2467,282,7.637314791211512, rooms AND rescue AND nottingham
1,2577,2577,283,7.637314791211512, rooms AND rescue AND nottingham
1,2628,2628,284,7.637314791211512, rooms AND rescue AND nottingham
1,2710,2710,285,7.637314791211512, rooms AND rescue AND nottingham
1,2878,2878,286,7.637314791211512, rooms AND rescue AND nottingham
1,3327,3327,287,7.637314791211512, rooms AND rescue AND nottingham
1,3400,3400,288,7.637314791211512, rooms AND rescue AND nottingham
1,3724,3724,289,7.637314791211512, rooms AND rescue AND nottingham
1,3835,3835,290,7.637314791211512, rooms AND rescue AND nottingham
1,3993,3993,291,7.637314791211512, rooms AND rescue AND nottingham
1,4177,4177,292,7.637314791211512, rooms AND rescue AND nottingham
1,4255,4255,293,7.637314791211512, rooms AND rescue AND nottingham
1,4292,4292,294,7.637314791211512, rooms AND rescue AND nottingham
1,4310,4310,295,7.637314791211512, rooms AND rescue AND nottingham
1,4374,4374,296,7.637314791211512, rooms AND rescue AND nottingham
1,4383,4383,297,7.637314791211512, rooms AND rescue AND nottingham
1,4448,4448,298,7.637314791211512, rooms AND rescue AND nottingham
1,4520,4520,299,7.637314791211512, rooms AND rescue AND nottingham
1,4585,4585,300,7.637314791211512, rooms AND rescue AND nottingham
1,4625,4625,301,7.637314791211512, rooms AND rescue AND nottingham
1,4630,4630,302,7.637314791211512, rooms AND rescue AND nottingham
1,4797,4797,303,7.637314791211512, rooms AND rescue AND nottingham
1,4947,4947,304,7.637314791211512, rooms AND rescue AND nottingham
1,5263,5263,305,7.637314791211512, rooms AND rescue AND nottingham
1,5393,5393,306,7.637314791211512, rooms AND rescue AND nottingham
1,5437,5437,307,7.637314791211512, rooms AND rescue AND nottingham
1,5466,5466,308,7.637314791211512, rooms AND rescue AND nottingham
1,5555,5555,309,7.637314791211512, rooms AND rescue AND nottingham
1,5715,5715,310,7.637314791211512, rooms AND rescue AND nottingham
1,5857,5857,311,7.637314791211512, rooms AND rescue AND nottingham
1,5963,5963,312,7.637314791211512, rooms AND rescue AND nottingham
1,5975,5975,313,7.637314791211512, rooms AND rescue AND nottingham
1,6147,6147,314,7.637314791211512, rooms AND rescue AND nottingham
1,6186,6186,315,7.637314791211512, rooms AND rescue AND nottingham
1,6220,6220,316,7.637314791211512, rooms AND rescue AND nottingham
1,6308,6308,317,7.637314791211512, rooms AND rescue AND nottingham
1,6386,6386,318,7.637314791211512, rooms AND rescue AND nottingham
1,6855,6855,319,7.637314791211512, rooms AND rescue AND nottingham
1,6977,6977,320,7.637314791211512, rooms AND rescue AND nottingham
1,7196,7196,321,7.637314791211512, rooms AND rescue AND nottingham
1,7318,7318,322,7.637314791211512, rooms AND rescue AND nottingham
1,7435,7435,323,7.637314791211512, rooms AND rescue AND nottingham
1,7526,7526,324,7.637314791211512, rooms AND rescue AND nottingham
1,7622,7622,325,7.637314791211512, rooms AND rescue AND nottingham
1,7978,7978,326,7.637314791211512, rooms AND rescue AND nottingham
1,8312,8312,327,7.637314791211512, rooms AND rescue AND nottingham
1,8403,8403,328,7.637314791211512, rooms AND rescue AND nottingham
1,8472,8472,329,7.637314791211512, rooms AND rescue AND nottingham
1,8488,8488,330,7.637314791211512, rooms AND rescue AND nottingham
1,8527,8527,331,7.637314791211512, rooms AND rescue AND nottingham
1,8585,8585,332,7.637314791211512, rooms AND rescue AND nottingham
1,8868,8868,333,7.637314791211512, rooms AND rescue AND nottingham
1,8906,8906,334,7.637314791211512, rooms AND rescue AND nottingham
1,8917,8917,335,7.637314791211512, rooms AND rescue AND nottingham
1,8931,8931,336,7.637314791211512, rooms AND rescue AND nottingham
1,8971,8971,337,7.637314791211512, rooms AND rescue AND nottingham
1,9250,9250,338,7.637314791211512, rooms AND rescue AND nottingham
1,9369,9369,339,7.637314791211512, rooms AND rescue AND nottingham
1,9499,9499,340,7.637314791211512, rooms AND rescue AND nottingham
1,9643,9643,341,7.637314791211512, rooms AND rescue AND nottingham
1,9657,9657,342,7.637314791211512, rooms AND rescue AND nottingham
